Date,Open,High,Low,Close
07/07/2023,33837.07,34036.38,33716.75,33734.88
07/06/2023,34171.39,34171.39,33771.47,33922.26
07/05/2023,34344.72,34376.11,34226.98,34288.64
07/03/2023,34369.78,34465.60,34286.54,34418.47
06/30/2023,34269.92,34467.35,34269.92,34407.60
06/29/2023,33854.57,34147.68,33828.63,34122.42
06/28/2023,33881.38,33903.76,33755.92,33852.66
06/27/2023,33739.03,33975.65,33730.39,33926.74
06/26/2023,33730.79,33819.49,33610.32,33714.71
06/23/2023,33835.66,33835.66,33646.49,33727.43
06/22/2023,33900.47,34003.56,33835.39,33946.71
06/21/2023,33990.56,34097.93,33876.17,33951.52
06/20/2023,34206.66,34206.66,33915.93,34053.87
06/16/2023,34464.02,34588.68,34285.69,34299.12
06/15/2023,33945.98,34488.98,33945.98,34408.06
06/14/2023,34044.70,34151.42,33783.55,33979.33
06/13/2023,34111.08,34310.28,34107.98,34212.12
06/12/2023,33906.80,34077.84,33878.46,34066.33
06/09/2023,33852.44,33975.32,33787.16,33876.78
06/08/2023,33656.98,33873.81,33630.04,33833.61
06/07/2023,33562.47,33708.78,33546.11,33665.02
06/06/2023,33547.67,33631.25,33399.69,33573.28
06/05/2023,33771.13,33804.22,33552.79,33562.86
06/02/2023,33187.58,33805.00,33187.58,33762.76
06/01/2023,32929.85,33167.75,32704.51,33061.57
05/31/2023,32948.71,32984.83,32739.73,32908.27
05/30/2023,33103.65,33132.70,32893.97,33042.78
05/26/2023,32795.50,33162.06,32795.50,33093.34
05/25/2023,32854.26,32870.43,32586.56,32764.65
05/24/2023,33021.76,33031.75,32752.44,32799.92
05/23/2023,33190.60,33310.17,33013.29,33055.51
05/22/2023,33408.54,33512.30,33207.85,33286.58
05/19/2023,33582.95,33652.90,33336.66,33426.63
05/18/2023,33374.56,33579.91,33212.09,33535.91
05/17/2023,33092.48,33472.38,33050.41,33420.77
05/16/2023,33275.37,33290.85,33006.19,33012.14
05/15/2023,33321.21,33400.30,33161.93,33348.60
05/12/2023,33370.58,33406.40,33110.61,33300.62
05/11/2023,33383.89,33389.88,33127.70,33309.51
05/10/2023,33707.20,33772.09,33239.45,33531.33
05/09/2023,33589.85,33656.40,33509.72,33561.81
05/08/2023,33715.15,33747.49,33509.23,33618.69
05/05/2023,33248.55,33748.43,33248.55,33674.38
05/04/2023,33347.78,33354.86,32937.50,33127.74
05/03/2023,33726.64,33811.84,33396.05,33414.24
05/02/2023,34017.62,34017.75,33436.66,33684.53
05/01/2023,34116.81,34257.83,34030.14,34051.70
04/28/2023,33797.43,34104.56,33728.40,34098.16
04/27/2023,33381.66,33859.75,33374.65,33826.16
04/26/2023,33596.34,33645.83,33235.85,33301.87
04/25/2023,33828.34,33875.49,33525.39,33530.83
04/24/2023,33805.04,33891.15,33726.09,33875.40
04/21/2023,33793.60,33858.83,33688.57,33808.96
04/20/2023,33740.60,33875.39,33677.74,33786.62
04/19/2023,33889.83,33957.98,33814.65,33897.01
04/18/2023,33965.16,34018.62,33791.89,33976.63
04/17/2023,33930.46,33991.23,33796.91,33987.18
04/14/2023,33981.71,34082.94,33730.85,33886.47
04/13/2023,33668.97,34054.99,33605.17,34029.69
04/12/2023,33764.21,33895.43,33593.32,33646.50
04/11/2023,33586.75,33781.29,33586.75,33684.79
04/10/2023,33425.25,33590.24,33343.43,33586.52
04/06/2023,33420.96,33525.96,33325.37,33485.29
04/05/2023,33394.60,33543.84,33376.27,33482.72
04/04/2023,33594.79,33634.72,33275.62,33402.38
04/03/2023,33245.78,33632.90,33245.78,33601.15
03/31/2023,32901.96,33291.00,32901.96,33274.15
03/30/2023,32807.43,32905.80,32682.87,32859.03
03/29/2023,32566.54,32728.04,32539.94,32717.60
03/28/2023,32434.85,32551.01,32295.50,32394.25
03/27/2023,32276.72,32564.00,32276.72,32432.08
03/24/2023,32038.22,32257.24,31805.18,32237.53
03/23/2023,32101.49,32511.49,31864.74,32105.25
03/22/2023,32570.19,32761.89,32020.46,32030.11
03/21/2023,32420.71,32593.68,32346.12,32560.60
03/20/2023,31872.33,32280.07,31872.33,32244.58
03/17/2023,32217.32,32217.32,31728.70,31861.98
03/16/2023,31827.65,32281.61,31571.46,32246.55
03/15/2023,31759.87,31906.47,31429.82,31874.57
03/14/2023,32055.29,32306.59,31805.40,32155.40
03/13/2023,31819.93,32240.35,31624.87,31819.14
03/10/2023,32185.14,32422.10,31783.41,31909.64
03/09/2023,32876.83,32990.46,32190.60,32254.86
03/08/2023,32872.08,32903.44,32612.70,32798.40
03/07/2023,33428.31,33453.25,32838.21,32856.46
03/06/2023,33425.32,33572.22,33383.47,33431.44
03/03/2023,33076.33,33405.82,33008.41,33390.97
03/02/2023,32780.97,33083.45,32665.85,33003.57
03/01/2023,32656.37,32746.15,32500.71,32661.84
02/28/2023,32873.47,32873.47,32636.43,32656.70
02/27/2023,32906.16,33189.28,32814.18,32889.09
02/24/2023,32999.19,32999.19,32643.48,32816.92
